message_id,action,message_type,reason,confidence,evidence_message_ids
msg_007,notify,greeting,Similar messages were previously opened by the user.,0.75,none
msg_085,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_001,notify,greeting,Similar messages were previously opened by the user.,0.93,message_0057
msg_021,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271;message_0130;message_0410
msg_028,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0034
msg_012,mute,greeting,Low priority message muted.,0.74,message_0194
msg_064,notify,unknown,Notification allowed based on relationship and urgency signals.,0.75,message_0087;message_0183;message_0201
msg_103,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0065;message_0382;message_0332
msg_031,notify,unknown,Notification allowed from a trusted contact.,0.85,message_0249;message_0055
msg_057,notify,unknown,Notification allowed from a trusted contact.,0.85,message_0371;message_0169;message_0230
msg_087,digest,unknown,Message muted because it belongs to a muted group.,0.50,message_0389;message_0204;message_0164
msg_067,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271
msg_039,notify,payment,Notification allowed from a trusted contact.,0.85,message_0255;message_0037;message_0364
msg_082,notify,unknown,Notification allowed from a trusted contact.,0.77,none
msg_066,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_049,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0154;message_0291;message_0153
msg_015,notify,unknown,Similar messages were previously opened by the user.,0.93,message_0173
msg_051,mute,payment,Muted promotional message from an opted-out business.,0.90,message_0257
msg_097,notify,urgent,Similar messages were previously opened by the user.,0.82,none
msg_089,notify,event,Similar messages were previously opened by the user.,0.76,none
msg_053,notify,greeting,Notification allowed from a trusted contact.,0.75,none
msg_059,notify,unknown,Similar messages were previously opened by the user.,0.93,message_0173
msg_024,mute,payment,Muted promotional message from an opted-out business.,0.90,message_0257
msg_072,notify,greeting,Similar messages were previously opened by the user.,0.93,message_0173
msg_036,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0283;message_0127;message_0128
msg_076,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0208;message_0207;message_0159
msg_055,notify,urgent,Notification allowed from a trusted contact.,0.82,none
msg_102,notify,urgent,Notification allowed from a trusted contact.,0.85,message_0371;message_0230;message_0170
msg_080,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271;message_0130;message_0410
msg_093,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_034,notify,urgent,Similar messages were previously opened by the user.,0.86,message_0078;message_0077;message_0013
msg_035,notify,greeting,Similar messages were previously opened by the user.,0.86,message_0281
msg_101,digest,personal,Message buffered during user quiet hours.,0.74,message_0370;message_0229
msg_041,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_011,digest,greeting,Message muted because it belongs to a muted group.,0.65,message_0077;message_0078;message_0171
msg_110,notify,urgent,Urgent notification allowed requiring immediate attention.,0.81,message_0238;message_0381
msg_095,digest,payment,Message routed to digest based on user preference.,0.75,message_0087;message_0183;message_0184
msg_074,mute,payment,Message muted because it belongs to a muted group.,0.88,message_0389;message_0203;message_0204
msg_073,notify,urgent,Urgent notification allowed requiring immediate attention.,0.78,message_0087;message_0184;message_0088
msg_054,mute,payment,Low priority message muted.,0.93,message_0389;message_0163;message_0164
msg_068,notify,greeting,Notification allowed from a trusted contact.,0.75,none
msg_100,notify,urgent,Notification allowed from a trusted contact.,0.85,message_0228;message_0362;message_0249
msg_062,mute,urgent,Message buffered during user quiet hours.,0.55,message_0271;message_0043;message_0410
msg_096,notify,personal,Notification allowed based on relationship and urgency signals.,0.74,none
msg_043,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271;message_0410;message_0130
msg_077,digest,greeting,Message buffered during user quiet hours.,0.67,message_0037;message_0255;message_0051
msg_081,notify,unknown,Similar messages were previously opened by the user.,0.77,none
msg_025,mute,greeting,Muted promotional message from an opted-out business.,0.90,message_0239;message_0004;message_0105
msg_084,mute,urgent,Muted promotional message from an opted-out business.,0.90,none
msg_022,mute,payment,Low priority message muted.,0.71,message_0151;message_0152;message_0237
